filename,category,article_or_summary
371.txt,politics,Summaries
395.txt,politics,Summaries
058.txt,politics,Summaries
152.txt,politics,Summaries
067.txt,politics,Summaries
412.txt,politics,Summaries
260.txt,politics,Summaries
068.txt,politics,Summaries
237.txt,politics,Summaries
360.txt,politics,Summaries
247.txt,politics,Summaries
030.txt,politics,Summaries
401.txt,politics,Summaries
298.txt,politics,Summaries
256.txt,politics,Summaries
210.txt,politics,Summaries
234.txt,politics,Summaries
020.txt,politics,Summaries
188.txt,politics,Summaries
070.txt,politics,Summaries
266.txt,politics,Summaries
203.txt,politics,Summaries
272.txt,politics,Summaries
041.txt,politics,Summaries
023.txt,politics,Summaries
114.txt,politics,Summaries
190.txt,politics,Summaries
112.txt,politics,Summaries
195.txt,politics,Summaries
198.txt,politics,Summaries
220.txt,politics,Summaries
143.txt,politics,Summaries
397.txt,politics,Summaries
066.txt,politics,Summaries
331.txt,politics,Summaries
279.txt,politics,Summaries
086.txt,politics,Summaries
071.txt,politics,Summaries
402.txt,politics,Summaries
169.txt,politics,Summaries
318.txt,politics,Summaries
366.txt,politics,Summaries
257.txt,politics,Summaries
157.txt,politics,Summaries
300.txt,politics,Summaries
311.txt,politics,Summaries
061.txt,politics,Summaries
241.txt,politics,Summaries
170.txt,politics,Summaries
150.txt,politics,Summaries
078.txt,politics,Summaries
358.txt,politics,Summaries
258.txt,politics,Summaries
133.txt,politics,Summaries
074.txt,politics,Summaries
278.txt,politics,Summaries
132.txt,politics,Summaries
006.txt,politics,Summaries
213.txt,politics,Summaries
181.txt,politics,Summaries
146.txt,politics,Summaries
156.txt,politics,Summaries
056.txt,politics,Summaries
008.txt,politics,Summaries
052.txt,politics,Summaries
309.txt,politics,Summaries
131.txt,politics,Summaries
342.txt,politics,Summaries
378.txt,politics,Summaries
232.txt,politics,Summaries
307.txt,politics,Summaries
111.txt,politics,Summaries
313.txt,politics,Summaries
233.txt,politics,Summaries
341.txt,politics,Summaries
106.txt,politics,Summaries
060.txt,politics,Summaries
219.txt,politics,Summaries
144.txt,politics,Summaries
393.txt,politics,Summaries
270.txt,politics,Summaries
403.txt,politics,Summaries
095.txt,politics,Summaries
206.txt,politics,Summaries
007.txt,politics,Summaries
338.txt,politics,Summaries
301.txt,politics,Summaries
335.txt,politics,Summaries
186.txt,politics,Summaries
410.txt,politics,Summaries
273.txt,politics,Summaries
228.txt,politics,Summaries
321.txt,politics,Summaries
038.txt,politics,Summaries
167.txt,politics,Summaries
274.txt,politics,Summaries
118.txt,politics,Summaries
357.txt,politics,Summaries
014.txt,politics,Summaries
416.txt,politics,Summaries
221.txt,politics,Summaries
083.txt,politics,Summaries
193.txt,politics,Summaries
125.txt,politics,Summaries
128.txt,politics,Summaries
199.txt,politics,Summaries
108.txt,politics,Summaries
172.txt,politics,Summaries
130.txt,politics,Summaries
302.txt,politics,Summaries
140.txt,politics,Summaries
259.txt,politics,Summaries
284.txt,politics,Summaries
317.txt,politics,Summaries
204.txt,politics,Summaries
267.txt,politics,Summaries
003.txt,politics,Summaries
216.txt,politics,Summaries
271.txt,politics,Summaries
312.txt,politics,Summaries
184.txt,politics,Summaries
388.txt,politics,Summaries
107.txt,politics,Summaries
064.txt,politics,Summaries
408.txt,politics,Summaries
164.txt,politics,Summaries
386.txt,politics,Summaries
082.txt,politics,Summaries
242.txt,politics,Summaries
100.txt,politics,Summaries
297.txt,politics,Summaries
160.txt,politics,Summaries
249.txt,politics,Summaries
417.txt,politics,Summaries
316.txt,politics,Summaries
243.txt,politics,Summaries
145.txt,politics,Summaries
236.txt,politics,Summaries
305.txt,politics,Summaries
287.txt,politics,Summaries
084.txt,politics,Summaries
296.txt,politics,Summaries
294.txt,politics,Summaries
394.txt,politics,Summaries
048.txt,politics,Summaries
090.txt,politics,Summaries
189.txt,politics,Summaries
096.txt,politics,Summaries
315.txt,politics,Summaries
103.txt,politics,Summaries
072.txt,politics,Summaries
017.txt,politics,Summaries
002.txt,politics,Summaries
370.txt,politics,Summaries
069.txt,politics,Summaries
135.txt,politics,Summaries
102.txt,politics,Summaries
293.txt,politics,Summaries
123.txt,politics,Summaries
227.txt,politics,Summaries
346.txt,politics,Summaries
379.txt,politics,Summaries
362.txt,politics,Summaries
222.txt,politics,Summaries
018.txt,politics,Summaries
047.txt,politics,Summaries
079.txt,politics,Summaries
009.txt,politics,Summaries
183.txt,politics,Summaries
049.txt,politics,Summaries
364.txt,politics,Summaries
035.txt,politics,Summaries
218.txt,politics,Summaries
101.txt,politics,Summaries
081.txt,politics,Summaries
292.txt,politics,Summaries
264.txt,politics,Summaries
330.txt,politics,Summaries
194.txt,politics,Summaries
015.txt,politics,Summaries
124.txt,politics,Summaries
025.txt,politics,Summaries
405.txt,politics,Summaries
404.txt,politics,Summaries
277.txt,politics,Summaries
367.txt,politics,Summaries
329.txt,politics,Summaries
238.txt,politics,Summaries
168.txt,politics,Summaries
390.txt,politics,Summaries
392.txt,politics,Summaries
291.txt,politics,Summaries
288.txt,politics,Summaries
324.txt,politics,Summaries
005.txt,politics,Summaries
345.txt,politics,Summaries
147.txt,politics,Summaries
295.txt,politics,Summaries
153.txt,politics,Summaries
211.txt,politics,Summaries
205.txt,politics,Summaries
384.txt,politics,Summaries
099.txt,politics,Summaries
197.txt,politics,Summaries
281.txt,politics,Summaries
326.txt,politics,Summaries
117.txt,politics,Summaries
121.txt,politics,Summaries
163.txt,politics,Summaries
306.txt,politics,Summaries
187.txt,politics,Summaries
252.txt,politics,Summaries
352.txt,politics,Summaries
182.txt,politics,Summaries
355.txt,politics,Summaries
411.txt,politics,Summaries
389.txt,politics,Summaries
137.txt,politics,Summaries
026.txt,politics,Summaries
303.txt,politics,Summaries
065.txt,politics,Summaries
104.txt,politics,Summaries
406.txt,politics,Summaries
051.txt,politics,Summaries
325.txt,politics,Summaries
029.txt,politics,Summaries
354.txt,politics,Summaries
207.txt,politics,Summaries
414.txt,politics,Summaries
191.txt,politics,Summaries
091.txt,politics,Summaries
109.txt,politics,Summaries
033.txt,politics,Summaries
055.txt,politics,Summaries
136.txt,politics,Summaries
176.txt,politics,Summaries
053.txt,politics,Summaries
092.txt,politics,Summaries
073.txt,politics,Summaries
246.txt,politics,Summaries
019.txt,politics,Summaries
217.txt,politics,Summaries
348.txt,politics,Summaries
119.txt,politics,Summaries
042.txt,politics,Summaries
116.txt,politics,Summaries
013.txt,politics,Summaries
231.txt,politics,Summaries
377.txt,politics,Summaries
282.txt,politics,Summaries
344.txt,politics,Summaries
319.txt,politics,Summaries
269.txt,politics,Summaries
286.txt,politics,Summaries
173.txt,politics,Summaries
097.txt,politics,Summaries
126.txt,politics,Summaries
142.txt,politics,Summaries
340.txt,politics,Summaries
239.txt,politics,Summaries
208.txt,politics,Summaries
285.txt,politics,Summaries
214.txt,politics,Summaries
149.txt,politics,Summaries
050.txt,politics,Summaries
336.txt,politics,Summaries
413.txt,politics,Summaries
110.txt,politics,Summaries
385.txt,politics,Summaries
283.txt,politics,Summaries
380.txt,politics,Summaries
192.txt,politics,Summaries
248.txt,politics,Summaries
004.txt,politics,Summaries
024.txt,politics,Summaries
361.txt,sport,Summaries
245.txt,sport,Summaries
431.txt,sport,Summaries
141.txt,sport,Summaries
487.txt,sport,Summaries
372.txt,sport,Summaries
333.txt,sport,Summaries
276.txt,sport,Summaries
244.txt,sport,Summaries
175.txt,sport,Summaries
351.txt,sport,Summaries
418.txt,sport,Summaries
449.txt,sport,Summaries
265.txt,sport,Summaries
178.txt,sport,Summaries
201.txt,sport,Summaries
464.txt,sport,Summaries
087.txt,sport,Summaries
251.txt,sport,Summaries
122.txt,sport,Summaries
375.txt,sport,Summaries
098.txt,sport,Summaries
139.txt,sport,Summaries
161.txt,sport,Summaries
479.txt,sport,Summaries
328.txt,sport,Summaries
174.txt,sport,Summaries
353.txt,sport,Summaries
383.txt,sport,Summaries
426.txt,sport,Summaries
409.txt,sport,Summaries
039.txt,sport,Summaries
365.txt,sport,Summaries
028.txt,sport,Summaries
134.txt,sport,Summaries
044.txt,sport,Summaries
154.txt,sport,Summaries
054.txt,sport,Summaries
200.txt,sport,Summaries
396.txt,sport,Summaries
021.txt,sport,Summaries
468.txt,sport,Summaries
179.txt,sport,Summaries
453.txt,sport,Summaries
472.txt,sport,Summaries
229.txt,sport,Summaries
322.txt,sport,Summaries
057.txt,sport,Summaries
043.txt,sport,Summaries
045.txt,sport,Summaries
148.txt,sport,Summaries
115.txt,sport,Summaries
415.txt,sport,Summaries
459.txt,sport,Summaries
040.txt,sport,Summaries
289.txt,sport,Summaries
063.txt,sport,Summaries
263.txt,sport,Summaries
105.txt,sport,Summaries
180.txt,sport,Summaries
255.txt,sport,Summaries
185.txt,sport,Summaries
162.txt,sport,Summaries
240.txt,sport,Summaries
343.txt,sport,Summaries
166.txt,sport,Summaries
127.txt,sport,Summaries
010.txt,sport,Summaries
031.txt,sport,Summaries
235.txt,sport,Summaries
356.txt,sport,Summaries
062.txt,sport,Summaries
376.txt,sport,Summaries
478.txt,sport,Summaries
012.txt,sport,Summaries
290.txt,sport,Summaries
369.txt,sport,Summaries
483.txt,sport,Summaries
215.txt,sport,Summaries
129.txt,sport,Summaries
450.txt,sport,Summaries
503.txt,sport,Summaries
089.txt,sport,Summaries
059.txt,sport,Summaries
314.txt,sport,Summaries
027.txt,sport,Summaries
391.txt,sport,Summaries
310.txt,sport,Summaries
374.txt,sport,Summaries
230.txt,sport,Summaries
501.txt,sport,Summaries
363.txt,sport,Summaries
381.txt,sport,Summaries
155.txt,sport,Summaries
398.txt,sport,Summaries
037.txt,sport,Summaries
165.txt,sport,Summaries
457.txt,sport,Summaries
407.txt,sport,Summaries
510.txt,sport,Summaries
159.txt,sport,Summaries
001.txt,sport,Summaries
382.txt,sport,Summaries
447.txt,sport,Summaries
250.txt,sport,Summaries
254.txt,sport,Summaries
080.txt,sport,Summaries
350.txt,sport,Summaries
223.txt,sport,Summaries
034.txt,sport,Summaries
399.txt,sport,Summaries
171.txt,sport,Summaries
299.txt,sport,Summaries
036.txt,sport,Summaries
387.txt,sport,Summaries
261.txt,sport,Summaries
226.txt,sport,Summaries
120.txt,sport,Summaries
224.txt,sport,Summaries
253.txt,sport,Summaries
158.txt,sport,Summaries
425.txt,sport,Summaries
332.txt,sport,Summaries
308.txt,sport,Summaries
327.txt,sport,Summaries
011.txt,sport,Summaries
094.txt,sport,Summaries
485.txt,sport,Summaries
016.txt,sport,Summaries
151.txt,sport,Summaries
093.txt,sport,Summaries
075.txt,sport,Summaries
212.txt,sport,Summaries
339.txt,sport,Summaries
334.txt,sport,Summaries
280.txt,sport,Summaries
490.txt,sport,Summaries
177.txt,sport,Summaries
368.txt,sport,Summaries
225.txt,sport,Summaries
373.txt,sport,Summaries
275.txt,sport,Summaries
337.txt,sport,Summaries
481.txt,sport,Summaries
462.txt,sport,Summaries
323.txt,sport,Summaries
113.txt,sport,Summaries
268.txt,sport,Summaries
138.txt,sport,Summaries
085.txt,sport,Summaries
347.txt,sport,Summaries
077.txt,sport,Summaries
435.txt,sport,Summaries
032.txt,sport,Summaries
196.txt,sport,Summaries
423.txt,sport,Summaries
488.txt,sport,Summaries
046.txt,sport,Summaries
076.txt,sport,Summaries
022.txt,sport,Summaries
320.txt,sport,Summaries
304.txt,sport,Summaries
506.txt,sport,Summaries
262.txt,sport,Summaries
452.txt,sport,Summaries
088.txt,sport,Summaries
359.txt,sport,Summaries
349.txt,sport,Summaries
202.txt,sport,Summaries
209.txt,sport,Summaries
400.txt,sport,Summaries
473.txt,sport,Summaries
441.txt,sport,Summaries
461.txt,sport,Summaries
371.txt,sport,Summaries
395.txt,sport,Summaries
058.txt,sport,Summaries
152.txt,sport,Summaries
471.txt,sport,Summaries
507.txt,sport,Summaries
067.txt,sport,Summaries
412.txt,sport,Summaries
260.txt,sport,Summaries
498.txt,sport,Summaries
068.txt,sport,Summaries
505.txt,sport,Summaries
237.txt,sport,Summaries
421.txt,sport,Summaries
360.txt,sport,Summaries
247.txt,sport,Summaries
030.txt,sport,Summaries
401.txt,sport,Summaries
298.txt,sport,Summaries
256.txt,sport,Summaries
210.txt,sport,Summaries
234.txt,sport,Summaries
020.txt,sport,Summaries
430.txt,sport,Summaries
188.txt,sport,Summaries
070.txt,sport,Summaries
266.txt,sport,Summaries
420.txt,sport,Summaries
203.txt,sport,Summaries
491.txt,sport,Summaries
272.txt,sport,Summaries
041.txt,sport,Summaries
023.txt,sport,Summaries
114.txt,sport,Summaries
422.txt,sport,Summaries
440.txt,sport,Summaries
190.txt,sport,Summaries
112.txt,sport,Summaries
195.txt,sport,Summaries
198.txt,sport,Summaries
220.txt,sport,Summaries
143.txt,sport,Summaries
397.txt,sport,Summaries
066.txt,sport,Summaries
331.txt,sport,Summaries
279.txt,sport,Summaries
086.txt,sport,Summaries
071.txt,sport,Summaries
402.txt,sport,Summaries
169.txt,sport,Summaries
434.txt,sport,Summaries
318.txt,sport,Summaries
366.txt,sport,Summaries
257.txt,sport,Summaries
157.txt,sport,Summaries
428.txt,sport,Summaries
300.txt,sport,Summaries
311.txt,sport,Summaries
061.txt,sport,Summaries
241.txt,sport,Summaries
475.txt,sport,Summaries
170.txt,sport,Summaries
150.txt,sport,Summaries
078.txt,sport,Summaries
358.txt,sport,Summaries
258.txt,sport,Summaries
133.txt,sport,Summaries
074.txt,sport,Summaries
278.txt,sport,Summaries
132.txt,sport,Summaries
006.txt,sport,Summaries
213.txt,sport,Summaries
181.txt,sport,Summaries
146.txt,sport,Summaries
156.txt,sport,Summaries
056.txt,sport,Summaries
008.txt,sport,Summaries
427.txt,sport,Summaries
052.txt,sport,Summaries
309.txt,sport,Summaries
445.txt,sport,Summaries
131.txt,sport,Summaries
342.txt,sport,Summaries
378.txt,sport,Summaries
232.txt,sport,Summaries
489.txt,sport,Summaries
436.txt,sport,Summaries
307.txt,sport,Summaries
111.txt,sport,Summaries
313.txt,sport,Summaries
233.txt,sport,Summaries
341.txt,sport,Summaries
106.txt,sport,Summaries
060.txt,sport,Summaries
480.txt,sport,Summaries
432.txt,sport,Summaries
219.txt,sport,Summaries
144.txt,sport,Summaries
393.txt,sport,Summaries
270.txt,sport,Summaries
403.txt,sport,Summaries
095.txt,sport,Summaries
206.txt,sport,Summaries
007.txt,sport,Summaries
338.txt,sport,Summaries
301.txt,sport,Summaries
451.txt,sport,Summaries
335.txt,sport,Summaries
477.txt,sport,Summaries
186.txt,sport,Summaries
410.txt,sport,Summaries
470.txt,sport,Summaries
495.txt,sport,Summaries
273.txt,sport,Summaries
228.txt,sport,Summaries
321.txt,sport,Summaries
038.txt,sport,Summaries
167.txt,sport,Summaries
274.txt,sport,Summaries
118.txt,sport,Summaries
357.txt,sport,Summaries
467.txt,sport,Summaries
014.txt,sport,Summaries
416.txt,sport,Summaries
221.txt,sport,Summaries
083.txt,sport,Summaries
455.txt,sport,Summaries
193.txt,sport,Summaries
125.txt,sport,Summaries
128.txt,sport,Summaries
199.txt,sport,Summaries
108.txt,sport,Summaries
172.txt,sport,Summaries
130.txt,sport,Summaries
302.txt,sport,Summaries
140.txt,sport,Summaries
259.txt,sport,Summaries
433.txt,sport,Summaries
284.txt,sport,Summaries
317.txt,sport,Summaries
204.txt,sport,Summaries
267.txt,sport,Summaries
003.txt,sport,Summaries
492.txt,sport,Summaries
216.txt,sport,Summaries
271.txt,sport,Summaries
443.txt,sport,Summaries
312.txt,sport,Summaries
486.txt,sport,Summaries
184.txt,sport,Summaries
388.txt,sport,Summaries
107.txt,sport,Summaries
474.txt,sport,Summaries
064.txt,sport,Summaries
408.txt,sport,Summaries
164.txt,sport,Summaries
386.txt,sport,Summaries
082.txt,sport,Summaries
242.txt,sport,Summaries
100.txt,sport,Summaries
297.txt,sport,Summaries
160.txt,sport,Summaries
249.txt,sport,Summaries
417.txt,sport,Summaries
316.txt,sport,Summaries
243.txt,sport,Summaries
145.txt,sport,Summaries
236.txt,sport,Summaries
305.txt,sport,Summaries
287.txt,sport,Summaries
084.txt,sport,Summaries
296.txt,sport,Summaries
294.txt,sport,Summaries
496.txt,sport,Summaries
394.txt,sport,Summaries
048.txt,sport,Summaries
482.txt,sport,Summaries
090.txt,sport,Summaries
189.txt,sport,Summaries
096.txt,sport,Summaries
315.txt,sport,Summaries
103.txt,sport,Summaries
072.txt,sport,Summaries
017.txt,sport,Summaries
454.txt,sport,Summaries
500.txt,sport,Summaries
002.txt,sport,Summaries
370.txt,sport,Summaries
069.txt,sport,Summaries
135.txt,sport,Summaries
102.txt,sport,Summaries
293.txt,sport,Summaries
123.txt,sport,Summaries
227.txt,sport,Summaries
429.txt,sport,Summaries
346.txt,sport,Summaries
379.txt,sport,Summaries
362.txt,sport,Summaries
493.txt,sport,Summaries
222.txt,sport,Summaries
018.txt,sport,Summaries
047.txt,sport,Summaries
079.txt,sport,Summaries
497.txt,sport,Summaries
465.txt,sport,Summaries
499.txt,sport,Summaries
504.txt,sport,Summaries
009.txt,sport,Summaries
183.txt,sport,Summaries
049.txt,sport,Summaries
364.txt,sport,Summaries
035.txt,sport,Summaries
218.txt,sport,Summaries
442.txt,sport,Summaries
101.txt,sport,Summaries
081.txt,sport,Summaries
511.txt,sport,Summaries
292.txt,sport,Summaries
264.txt,sport,Summaries
330.txt,sport,Summaries
194.txt,sport,Summaries
015.txt,sport,Summaries
419.txt,sport,Summaries
124.txt,sport,Summaries
025.txt,sport,Summaries
405.txt,sport,Summaries
404.txt,sport,Summaries
277.txt,sport,Summaries
466.txt,sport,Summaries
439.txt,sport,Summaries
367.txt,sport,Summaries
329.txt,sport,Summaries
238.txt,sport,Summaries
502.txt,sport,Summaries
168.txt,sport,Summaries
390.txt,sport,Summaries
476.txt,sport,Summaries
446.txt,sport,Summaries
392.txt,sport,Summaries
291.txt,sport,Summaries
288.txt,sport,Summaries
324.txt,sport,Summaries
005.txt,sport,Summaries
509.txt,sport,Summaries
345.txt,sport,Summaries
147.txt,sport,Summaries
295.txt,sport,Summaries
153.txt,sport,Summaries
458.txt,sport,Summaries
211.txt,sport,Summaries
205.txt,sport,Summaries
384.txt,sport,Summaries
099.txt,sport,Summaries
197.txt,sport,Summaries
281.txt,sport,Summaries
326.txt,sport,Summaries
117.txt,sport,Summaries
121.txt,sport,Summaries
163.txt,sport,Summaries
306.txt,sport,Summaries
187.txt,sport,Summaries
252.txt,sport,Summaries
352.txt,sport,Summaries
182.txt,sport,Summaries
355.txt,sport,Summaries
411.txt,sport,Summaries
389.txt,sport,Summaries
137.txt,sport,Summaries
026.txt,sport,Summaries
303.txt,sport,Summaries
438.txt,sport,Summaries
065.txt,sport,Summaries
104.txt,sport,Summaries
406.txt,sport,Summaries
051.txt,sport,Summaries
325.txt,sport,Summaries
424.txt,sport,Summaries
029.txt,sport,Summaries
354.txt,sport,Summaries
207.txt,sport,Summaries
414.txt,sport,Summaries
191.txt,sport,Summaries
091.txt,sport,Summaries
109.txt,sport,Summaries
033.txt,sport,Summaries
055.txt,sport,Summaries
469.txt,sport,Summaries
136.txt,sport,Summaries
176.txt,sport,Summaries
508.txt,sport,Summaries
053.txt,sport,Summaries
092.txt,sport,Summaries
456.txt,sport,Summaries
073.txt,sport,Summaries
246.txt,sport,Summaries
019.txt,sport,Summaries
217.txt,sport,Summaries
348.txt,sport,Summaries
494.txt,sport,Summaries
119.txt,sport,Summaries
042.txt,sport,Summaries
460.txt,sport,Summaries
463.txt,sport,Summaries
437.txt,sport,Summaries
116.txt,sport,Summaries
013.txt,sport,Summaries
231.txt,sport,Summaries
444.txt,sport,Summaries
377.txt,sport,Summaries
484.txt,sport,Summaries
282.txt,sport,Summaries
344.txt,sport,Summaries
319.txt,sport,Summaries
269.txt,sport,Summaries
286.txt,sport,Summaries
173.txt,sport,Summaries
097.txt,sport,Summaries
126.txt,sport,Summaries
142.txt,sport,Summaries
340.txt,sport,Summaries
239.txt,sport,Summaries
208.txt,sport,Summaries
285.txt,sport,Summaries
214.txt,sport,Summaries
149.txt,sport,Summaries
050.txt,sport,Summaries
448.txt,sport,Summaries
336.txt,sport,Summaries
413.txt,sport,Summaries
110.txt,sport,Summaries
385.txt,sport,Summaries
283.txt,sport,Summaries
380.txt,sport,Summaries
192.txt,sport,Summaries
248.txt,sport,Summaries
004.txt,sport,Summaries
024.txt,sport,Summaries
361.txt,tech,Summaries
245.txt,tech,Summaries
141.txt,tech,Summaries
372.txt,tech,Summaries
333.txt,tech,Summaries
276.txt,tech,Summaries
244.txt,tech,Summaries
175.txt,tech,Summaries
351.txt,tech,Summaries
265.txt,tech,Summaries
178.txt,tech,Summaries
201.txt,tech,Summaries
087.txt,tech,Summaries
251.txt,tech,Summaries
122.txt,tech,Summaries
375.txt,tech,Summaries
098.txt,tech,Summaries
139.txt,tech,Summaries
161.txt,tech,Summaries
328.txt,tech,Summaries
174.txt,tech,Summaries
353.txt,tech,Summaries
383.txt,tech,Summaries
039.txt,tech,Summaries
365.txt,tech,Summaries
028.txt,tech,Summaries
134.txt,tech,Summaries
044.txt,tech,Summaries
154.txt,tech,Summaries
054.txt,tech,Summaries
200.txt,tech,Summaries
396.txt,tech,Summaries
021.txt,tech,Summaries
179.txt,tech,Summaries
229.txt,tech,Summaries
322.txt,tech,Summaries
057.txt,tech,Summaries
043.txt,tech,Summaries
045.txt,tech,Summaries
148.txt,tech,Summaries
115.txt,tech,Summaries
040.txt,tech,Summaries
289.txt,tech,Summaries
063.txt,tech,Summaries
263.txt,tech,Summaries
105.txt,tech,Summaries
180.txt,tech,Summaries
255.txt,tech,Summaries
185.txt,tech,Summaries
162.txt,tech,Summaries
240.txt,tech,Summaries
343.txt,tech,Summaries
166.txt,tech,Summaries
127.txt,tech,Summaries
010.txt,tech,Summaries
031.txt,tech,Summaries
235.txt,tech,Summaries
356.txt,tech,Summaries
062.txt,tech,Summaries
376.txt,tech,Summaries
012.txt,tech,Summaries
290.txt,tech,Summaries
369.txt,tech,Summaries
215.txt,tech,Summaries
129.txt,tech,Summaries
089.txt,tech,Summaries
059.txt,tech,Summaries
314.txt,tech,Summaries
027.txt,tech,Summaries
391.txt,tech,Summaries
310.txt,tech,Summaries
374.txt,tech,Summaries
230.txt,tech,Summaries
363.txt,tech,Summaries
381.txt,tech,Summaries
155.txt,tech,Summaries
398.txt,tech,Summaries
037.txt,tech,Summaries
165.txt,tech,Summaries
159.txt,tech,Summaries
001.txt,tech,Summaries
382.txt,tech,Summaries
250.txt,tech,Summaries
254.txt,tech,Summaries
080.txt,tech,Summaries
350.txt,tech,Summaries
223.txt,tech,Summaries
034.txt,tech,Summaries
399.txt,tech,Summaries
171.txt,tech,Summaries
299.txt,tech,Summaries
036.txt,tech,Summaries
387.txt,tech,Summaries
261.txt,tech,Summaries
226.txt,tech,Summaries
120.txt,tech,Summaries
224.txt,tech,Summaries
253.txt,tech,Summaries
158.txt,tech,Summaries
332.txt,tech,Summaries
308.txt,tech,Summaries
327.txt,tech,Summaries
011.txt,tech,Summaries
094.txt,tech,Summaries
016.txt,tech,Summaries
151.txt,tech,Summaries
093.txt,tech,Summaries
075.txt,tech,Summaries
212.txt,tech,Summaries
339.txt,tech,Summaries
334.txt,tech,Summaries
280.txt,tech,Summaries
177.txt,tech,Summaries
368.txt,tech,Summaries
225.txt,tech,Summaries
373.txt,tech,Summaries
275.txt,tech,Summaries
337.txt,tech,Summaries
323.txt,tech,Summaries
113.txt,tech,Summaries
268.txt,tech,Summaries
138.txt,tech,Summaries
085.txt,tech,Summaries
347.txt,tech,Summaries
077.txt,tech,Summaries
032.txt,tech,Summaries
196.txt,tech,Summaries
046.txt,tech,Summaries
076.txt,tech,Summaries
022.txt,tech,Summaries
320.txt,tech,Summaries
304.txt,tech,Summaries
262.txt,tech,Summaries
088.txt,tech,Summaries
359.txt,tech,Summaries
349.txt,tech,Summaries
202.txt,tech,Summaries
209.txt,tech,Summaries
400.txt,tech,Summaries
371.txt,tech,Summaries
395.txt,tech,Summaries
058.txt,tech,Summaries
152.txt,tech,Summaries
067.txt,tech,Summaries
260.txt,tech,Summaries
068.txt,tech,Summaries
237.txt,tech,Summaries
